eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.38,-2.8299999237060547,83.05,-2.5399999618530273,1319.0,0.00012674920435529202,0.0,2.7079403400421143,-0.00032609517802484334,0.3991280794143677,-0.0018887519836425781,1.0,256.0,12.417159136151895,16384.0
80.61,-2.440000057220459,86.29,-2.359999895095825,1726.0,0.0003050544473808259,0.0,2.707026720046997,-0.0005017233779653907,0.16276754438877106,0.038775086402893066,2.0,512.0,21.97527470206842,32768.0
84.39,-2.0299999713897705,82.49,-3.2799999713897705,1693.0,0.0009227240807376802,0.0047200522385537624,2.7026922702789307,-0.0012658274499699473,0.1405167132616043,0.08382833003997803,3.0,768.0,31.651856077136472,49152.0
83.69,-1.9600000381469727,76.78,-1.7799999713897705,1710.0,0.003794644260779023,0.0203857421875,2.686892509460449,-0.0029370069969445467,0.11806914955377579,0.16519248485565186,4.0,1024.0,41.23005337896757,65536.0
84.52,-2.430000066757202,83.79,-2.609999895095825,1680.0,0.0027930792421102524,0.010721842758357525,2.6780481338500977,-0.0027932736556977034,0.12711726129055023,0.25121331214904785,5.0,1280.0,50.984277547104284,81920.0
89.57,-2.4600000381469727,86.59,-2.549999952316284,1676.0,0.002680116333067417,0.02032470703125,2.67594051361084,-0.003420001594349742,0.09371128678321838,0.3435993790626526,6.0,1536.0,60.762128819013014,98304.0
84.44,-1.909999966621399,80.99,-1.8899999856948853,1682.0,0.003720872336998582,0.03053792379796505,2.664654493331909,-0.004712067078799009,0.10392069071531296,0.3953571319580078,7.0,1792.0,70.50468660797924,114688.0
81.66,-1.7799999713897705,82.5,-2.640000104904175,1689.0,0.004841060843318701,0.041748046875,2.641254425048828,-0.006583427544683218,0.09616944938898087,0.5046295821666718,8.0,2048.0,80.2066179329995,131072.0
83.09,-1.659999966621399,77.78,-1.8300000429153442,1695.0,0.0050907800905406475,0.0571492500603199,2.648513078689575,-0.00872779544442892,0.08111385256052017,0.5536850988864899,9.0,2304.0,89.8711772270035,147456.0
76.81,-1.100000023841858,74.41,-1.4800000190734863,1708.0,0.0056140124797821045,0.0677693709731102,2.633439302444458,-0.00913167279213667,0.08405721187591553,0.5513828694820404,10.0,2560.0,99.46007614815608,163840.0
