eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.57,-2.3399999141693115,85.45,-2.440000057220459,1368.0,9.027700434671715e-05,0.0,2.707946538925171,-0.0002483227872289717,0.3751755952835083,0.008452057838439941,1.0,256.0,11.970132956048474,16384.0
88.15,-2.4600000381469727,86.81,-3.0399999618530273,1815.0,0.0002925226290244609,0.0,2.7070837020874023,-0.0005200637388043106,0.16549073159694672,0.02678757905960083,2.0,512.0,21.06007499806583,32768.0
88.11,-2.640000104904175,79.38,-2.859999895095825,1897.0,0.0014713701093569398,0.0076497397385537624,2.7028207778930664,-0.0010881830239668489,0.12540178000926971,0.13055139780044556,3.0,768.0,29.6978559109848,49152.0
77.86,-1.7100000381469727,84.69,-2.259999990463257,1817.0,0.002027304144576192,0.01605224609375,2.6945455074310303,-0.0019810812082141638,0.12019118666648865,0.2333558201789856,4.0,1024.0,38.71194367506541,65536.0
82.64,-2.8299999237060547,78.52,-2.069999933242798,1794.0,0.0013934727758169174,0.0042521157301962376,2.6895065307617188,-0.001812345813959837,0.13095161318778992,0.2879253029823303,5.0,1280.0,47.843678682111204,81920.0
84.94,-1.4800000190734863,80.02,-2.5199999809265137,1777.0,0.003615384688600898,0.02229817770421505,2.6715993881225586,-0.003527536056935787,0.09207972139120102,0.3771663308143616,6.0,1536.0,57.06347810407169,98304.0
82.1,-1.690000057220459,81.4,-2.009999990463257,1779.0,0.0023558130487799644,0.009806315414607525,2.6637072563171387,-0.0026776522863656282,0.12507203221321106,0.4246082901954651,7.0,1792.0,66.27136549004354,114688.0
81.27,-1.4600000381469727,83.58,-1.940000057220459,1798.0,0.0034662133548408747,0.02659098245203495,2.667550802230835,-0.00523714954033494,0.09090092778205872,0.4934251308441162,8.0,2048.0,75.38013493292965,131072.0
78.68,-1.2799999713897705,84.58,-1.2799999713897705,1769.0,0.004036730621010065,0.0351969413459301,2.655169725418091,-0.006122869905084372,0.09029180556535721,0.4994226098060608,9.0,2304.0,84.6399148479104,147456.0
75.25,-1.4299999475479126,79.3,-1.5700000524520874,1729.0,0.004994862712919712,0.0472005195915699,2.636990547180176,-0.009152981452643871,0.07870608568191528,0.5821924209594727,10.0,2560.0,94.11651584110223,163840.0
79.91,-1.6200000047683716,82.53,-1.4700000286102295,1762.0,0.004593401215970516,0.0443318672478199,2.632073402404785,-0.009141950868070126,0.08716980367898941,0.5934430956840515,11.0,2816.0,103.41282255388796,180224.0
81.23,-1.149999976158142,77.4,-0.75,1756.0,0.005360193084925413,0.06317138671875,2.631124258041382,-0.01073929201811552,0.07447672635316849,0.6096383333206177,12.0,3072.0,112.74405658594333,196608.0
81.94,-0.49000000953674316,83.05,-1.340000033378601,1792.0,0.005276573821902275,0.0628865584731102,2.6204349994659424,-0.012396053411066532,0.06468579918146133,0.586162269115448,13.0,3328.0,121.88397354003973,212992.0
80.05,-0.9200000166893005,81.35,-1.3899999856948853,1742.0,0.007054513785988092,0.0871785506606102,2.6133828163146973,-0.013544656336307526,0.07966119796037674,0.5933865606784821,14.0,3584.0,131.29112656996585,229376.0
82.57,-0.6399999856948853,76.7,-0.7400000095367432,1725.0,0.007522827014327049,0.0972900390625,2.599357843399048,-0.015205957926809788,0.06498049944639206,0.6784958839416504,15.0,3840.0,140.78640407393686,245760.0
80.92,0.0,75.65,-0.3199999928474426,1755.0,0.007336806505918503,0.09423828125,2.5747268199920654,-0.014776499010622501,0.06566260755062103,0.5893832743167877,16.0,4096.0,150.12086436292157,262144.0
83.21,-0.6100000143051147,78.15,-0.3400000035762787,1780.0,0.00896945409476757,0.1219685897231102,2.5741498470306396,-0.01629338413476944,0.06430483609437943,0.6781711578369141,17.0,4352.0,159.3254852409009,278528.0
82.42,-0.019999999552965164,77.57,-0.27000001072883606,1742.0,0.008800816722214222,0.1159871444106102,2.5736143589019775,-0.015297665260732174,0.059496913105249405,0.6527010500431061,18.0,4608.0,168.72881207498722,294912.0
86.33,0.3199999928474426,80.59,0.029999999329447746,1618.0,0.009517976082861423,0.1300455778837204,2.5746216773986816,-0.01531226933002472,0.048416078090667725,0.667024165391922,19.0,4864.0,178.8512378120795,311296.0
80.1,0.18000000715255737,89.8,-0.3100000023841858,1219.0,0.009827429428696632,0.1306355744600296,2.582207202911377,-0.01679009199142456,0.05430397018790245,0.5828967094421387,20.0,5120.0,192.28977390401997,327680.0
82.38,0.7900000214576721,82.42,0.27000001072883606,1237.0,0.009117543697357178,0.12060546875,2.5757713317871094,-0.0179312564432621,0.04791577160358429,0.5619744956493378,21.0,5376.0,205.53309879801236,344064.0
85.61,0.5,85.36,-0.3499999940395355,1133.0,0.01006359327584505,0.1313069611787796,2.576833963394165,-0.02006862312555313,0.05507411062717438,0.6690092086791992,22.0,5632.0,219.99458506703377,360448.0
76.67,0.7200000286102295,88.26,0.10000000149011612,1107.0,0.011518060229718685,0.1490275114774704,2.5577518939971924,-0.02032383345067501,0.05399877205491066,0.6545045673847198,23.0,5888.0,234.79254400194623,376832.0
86.09,1.2699999809265137,80.07,0.8199999928474426,1139.0,0.010765369981527328,0.14617919921875,2.551948308944702,-0.019323935732245445,0.044387608766555786,0.7035351097583771,24.0,6144.0,249.1682124400977,393216.0
82.46,0.9599999785423279,87.52,0.7200000286102295,1188.0,0.012931660749018192,0.17498779296875,2.5286178588867188,-0.02328452467918396,0.05622124299407005,0.6551342308521271,25.0,6400.0,262.9618173260242,409600.0
85.7,0.8600000143051147,83.09,0.6200000047683716,1258.0,0.01631787233054638,0.2020670622587204,2.529721260070801,-0.01906859315931797,0.05199131369590759,0.7172722220420837,26.0,6656.0,275.98066569608636,425984.0
84.73,0.8999999761581421,87.28,0.8999999761581421,1215.0,0.012111566960811615,0.161376953125,2.5421664714813232,-0.020921071991324425,0.056328076869249344,0.6714245975017548,27.0,6912.0,289.4669947249349,442368.0
83.1,1.5199999809265137,89.1,0.7400000095367432,1102.0,0.012773665599524975,0.1664021760225296,2.5160951614379883,-0.019833093509078026,0.05288214609026909,0.7182464599609375,28.0,7168.0,304.3231879300438,458752.0
87.87,1.6799999475479126,86.47,0.7300000190734863,1125.0,0.016550779342651367,0.2169596403837204,2.496582269668579,-0.02152232825756073,0.05122135952115059,0.7589162439107895,29.0,7424.0,318.87776400800794,475136.0
88.08,1.2200000286102295,82.27,0.8100000023841858,1165.0,0.013321619480848312,0.1815185546875,2.4712769985198975,-0.02242388017475605,0.05741211399435997,0.7393315732479095,30.0,7680.0,332.93719136109576,491520.0
83.88,1.6100000143051147,89.06,1.159999966621399,1231.0,0.013726348988711834,0.1781819611787796,2.497300863265991,-0.023268261924386024,0.04256469011306763,0.7100247740745544,31.0,7936.0,346.24281362909824,507904.0
85.61,1.5199999809265137,85.56,1.149999976158142,1218.0,0.013482767157256603,0.17828369140625,2.4973292350769043,-0.021392950788140297,0.0546720027923584,0.7372179925441742,32.0,8192.0,359.6897794599645,524288.0
