eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.74,-2.609999895095825,75.32,-1.8600000143051147,992.0,0.0004025317030027509,0.0,2.707646131515503,-0.0004284793685656041,1.8712388277053833,-0.0019867420196533203,1.0,256.0,16.505084068980068,16384.0
83.46,-2.880000114440918,81.85,-2.069999933242798,1190.0,0.00018097134307026863,0.0,2.7067291736602783,-0.0003538831660989672,1.6326298713684082,0.025505661964416504,2.0,512.0,30.331166012911126,32768.0
81.69,-2.75,82.33,-2.5799999237060547,1123.0,0.000628307752776891,0.0,2.705064535140991,-0.0006842540460638702,1.706675410270691,0.04048299789428711,3.0,768.0,44.910057581961155,49152.0
82.53,-2.119999885559082,82.36,-1.840000033378601,1055.0,0.00161055289208889,0.0071207680739462376,2.699176073074341,-0.0006460741278715432,1.4196791648864746,0.06221705675125122,4.0,1024.0,60.43370149307884,65536.0
77.41,-2.6600000858306885,79.17,-2.630000114440918,1017.0,0.0006752663175575435,0.0,2.6974782943725586,-0.0003279167285654694,1.462364673614502,0.07897186279296875,5.0,1280.0,76.53119237604551,81920.0
79.56,-2.8399999141693115,77.46,-2.180000066757202,1056.0,0.0018683414673432708,0.0033365886192768812,2.693371057510376,-0.0013961880467832088,1.445562720298767,0.10454344749450684,6.0,1536.0,92.03797157900408,98304.0
89.45,-2.4600000381469727,83.04,-2.4600000381469727,1092.0,0.002183095086365938,4.069010537932627e-05,2.6851603984832764,-0.0012526671634986997,1.2635642290115356,0.11418592929840088,7.0,1792.0,107.03686365205795,114688.0
77.01,-2.75,79.82,-2.759999990463257,1179.0,0.002714991569519043,0.009501139633357525,2.674750566482544,-0.0009232114534825087,1.231987714767456,0.1401389241218567,8.0,2048.0,120.92408201703802,131072.0
79.92,-2.490000009536743,77.35,-2.4200000762939453,1121.0,0.0019259648397564888,0.0019938151817768812,2.6600100994110107,-0.0007971799932420254,1.1582359075546265,0.15687847137451172,9.0,2304.0,135.5301709040068,147456.0
87.77,-2.75,74.99,-2.75,1158.0,0.001784352003596723,0.0074259438551962376,2.6322200298309326,-0.0006248768768273294,0.9759624600410461,0.22371244430541992,10.0,2560.0,149.6728176730685,163840.0
75.57,-1.9800000190734863,82.27,-2.119999885559082,1132.0,0.0013819029554724693,0.00177001953125,2.636600971221924,-0.0005124316667206585,0.9489955902099609,0.21607595682144165,11.0,2816.0,164.1421794560738,180224.0
78.54,-2.2899999618530273,80.52,-1.9700000286102295,1122.0,0.0032324388157576323,0.01055908203125,2.58931827545166,-0.0010524904355406761,0.9234459400177002,0.25822657346725464,12.0,3072.0,178.7372765620239,196608.0
75.96,-2.240000009536743,79.8,-2.4600000381469727,1198.0,0.003749687224626541,0.02103678323328495,2.58125901222229,-0.0010534831089898944,0.9119778275489807,0.30663585662841797,13.0,3328.0,192.40896700602025,212992.0
84.04,-2.609999895095825,79.93,-2.5999999046325684,1098.0,0.0029771607369184494,0.01690673828125,2.6132609844207764,-0.0013244192814454436,0.8733837008476257,0.3392542600631714,14.0,3584.0,207.32496447488666,229376.0
80.63,-2.5799999237060547,85.93,-2.799999952316284,1022.0,0.004453014116734266,0.02762858010828495,2.6029717922210693,-0.0017269159434363246,0.7564815878868103,0.3274502754211426,15.0,3840.0,223.3495484290179,245760.0
81.47,-2.740000009536743,81.05,-2.359999895095825,1028.0,0.001772611984051764,0.0041910805739462376,2.5969932079315186,-0.0007464988739229739,0.7729408740997314,0.35694313049316406,16.0,4096.0,239.27486348804086,262144.0
85.64,-2.2200000286102295,85.39,-3.5799999237060547,1061.0,0.0025116675533354282,0.014912922866642475,2.604163408279419,-0.0012695628684014082,0.7176846861839294,0.34521543979644775,17.0,4352.0,254.71543069789186,278528.0
78.39,-1.7999999523162842,82.87,-2.369999885559082,1101.0,0.0026935527566820383,0.0091552734375,2.6178176403045654,-0.001472417265176773,0.7270011901855469,0.32384204864501953,18.0,4608.0,269.5861947350204,294912.0
81.12,-2.3399999141693115,80.96,-2.740000009536743,1119.0,0.0035488742869347334,0.02669270895421505,2.624190092086792,-0.002053862204775214,0.6594533920288086,0.38696640729904175,19.0,4864.0,284.2194804579485,311296.0
79.98,-2.2200000286102295,80.12,-2.3299999237060547,1164.0,0.003947469871491194,0.023193359375,2.6139097213745117,-0.001806397456675768,0.6208030581474304,0.38196003437042236,20.0,5120.0,298.29489408107474,327680.0
79.81,-2.690000057220459,80.41,-1.8700000047683716,1164.0,0.0050733922980725765,0.0396728515625,2.626775026321411,-0.003221808932721615,0.6224622130393982,0.42896515130996704,21.0,5376.0,312.36979175102897,344064.0
82.68,-2.0799999237060547,83.91,-1.8799999952316284,1227.0,0.004193961154669523,0.0359293632209301,2.6138222217559814,-0.004816111642867327,0.5640851855278015,0.4479440450668335,22.0,5632.0,325.72037490596995,360448.0
81.77,-1.659999966621399,74.12,-2.200000047683716,1213.0,0.005949596408754587,0.0629068985581398,2.6042988300323486,-0.005310922861099243,0.6032713055610657,0.43639034032821655,23.0,5888.0,339.217673860956,376832.0
76.72,-1.0099999904632568,75.85,-1.9800000190734863,1150.0,0.0063409158028662205,0.0857747420668602,2.6074435710906982,-0.005750870797783136,0.5229060053825378,0.5300018191337585,24.0,6144.0,353.46084940596484,393216.0
81.66,-1.1699999570846558,77.04,-1.8899999856948853,1098.0,0.00469431234523654,0.0526936836540699,2.587402105331421,-0.00611070403829217,0.5861569046974182,0.5568127036094666,25.0,6400.0,368.38078035903163,409600.0
80.06,-1.2300000190734863,78.9,-2.509999990463257,1026.0,0.005677700508385897,0.0628458634018898,2.587491989135742,-0.0043029491789639,0.6297439932823181,0.5700910091400146,26.0,6656.0,384.3507857751101,425984.0
78.33,-1.7300000190734863,78.41,-2.25,1047.0,0.00491384556517005,0.0517985038459301,2.5661303997039795,-0.006800349801778793,0.5379579663276672,0.6159660816192627,27.0,6912.0,399.9954361319542,442368.0
78.78,-1.2000000476837158,77.01,-1.75,1194.0,0.006498234812170267,0.07861328125,2.5560929775238037,-0.005059067625552416,0.5041565895080566,0.6478376090526581,28.0,7168.0,413.70994925987907,458752.0
75.18,-1.190000057220459,71.79,-1.600000023841858,1179.0,0.006448928266763687,0.0814208984375,2.531547784805298,-0.0038170896004885435,0.46185746788978577,0.7261943817138672,29.0,7424.0,427.5958187940996,475136.0
79.0,-0.7300000190734863,76.74,-1.6799999475479126,1140.0,0.0054079447872936726,0.0530598945915699,2.5394232273101807,-0.0064568351954221725,0.49554333090782166,0.7151609659194946,30.0,7680.0,441.96213604393415,491520.0
76.5,-1.149999976158142,72.71,-1.5299999713897705,1168.0,0.006917030084878206,0.0823567733168602,2.5225179195404053,-0.006697623059153557,0.44154295325279236,0.7704817652702332,31.0,7936.0,455.98981814901344,507904.0
