eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.13,-2.4000000953674316,80.44,-2.759999990463257,1360.0,0.000360390025889501,0.0,2.7076961994171143,-0.0004654413496609777,0.3703857660293579,-0.017996549606323242,1.0,256.0,12.043238905956969,16384.0
80.88,-1.9199999570846558,78.88,-2.3399999141693115,1773.0,0.0009339930838905275,0.0,2.7050628662109375,-0.0011001182720065117,0.1585509032011032,0.042673468589782715,2.0,512.0,21.344076191075146,32768.0
83.66,-1.5399999618530273,79.48,-2.2799999713897705,1599.0,0.004614714067429304,0.02665201760828495,2.688356399536133,-0.0032440091017633677,0.13861733675003052,0.12222284078598022,3.0,768.0,31.58748258696869,49152.0
80.79,-2.0899999141693115,86.23,-3.309999942779541,2128.0,0.001281671691685915,0.0052897133864462376,2.6903064250946045,-0.0012632337165996432,0.15303970873355865,0.22214984893798828,4.0,1024.0,39.286432162160054,65536.0
86.39,-2.049999952316284,82.62,-2.509999990463257,1754.0,0.001727004535496235,0.00341796875,2.6946306228637695,-0.002163972007110715,0.13457682728767395,0.3057466149330139,5.0,1280.0,48.625744401011616,81920.0
84.73,-2.369999885559082,85.65,-2.049999952316284,1727.0,0.0009234179742634296,0.00433349609375,2.695892333984375,-0.001686783623881638,0.14126279950141907,0.36879467964172363,6.0,1536.0,58.11306734196842,98304.0
83.84,-3.1600000858306885,82.14,-2.5199999809265137,1884.0,0.0017023455584421754,0.010660807602107525,2.6916589736938477,-0.0027274589519947767,0.14677979052066803,0.39974701404571533,7.0,1792.0,66.80722790211439,114688.0
86.77,-1.3600000143051147,82.88,-1.9500000476837158,1595.0,0.0026025131810456514,0.0123291015625,2.681366205215454,-0.0031904273200780153,0.11011877655982971,0.4517229199409485,8.0,2048.0,77.07827773597091,131072.0
81.78,-2.319999933242798,83.24,-2.1600000858306885,2130.0,0.0012951708631590009,0.0020345051307231188,2.68091082572937,-0.0028084253426641226,0.11084679514169693,0.5856645703315735,9.0,2304.0,84.76957773510367,147456.0
88.41,-2.299999952316284,90.94,-1.7699999809265137,1782.0,0.0032546150032430887,0.02097574807703495,2.6750173568725586,-0.003965297248214483,0.12400802969932556,0.5353802740573883,10.0,2560.0,93.96182851097547,163840.0
86.49,-1.9700000286102295,82.16,-1.9199999570846558,1627.0,0.003049565479159355,0.02349853515625,2.677663564682007,-0.005129026714712381,0.10169554501771927,0.5532390177249908,11.0,2816.0,104.02905551507138,180224.0
82.47,-2.0399999618530273,85.56,-1.690000057220459,2057.0,0.004421287681907415,0.0466512031853199,2.6557676792144775,-0.00816317182034254,0.09202582389116287,0.5851002931594849,12.0,3072.0,111.99395533604547,196608.0
81.59,-1.409999966621399,80.23,-1.190000057220459,1669.0,0.004523171577602625,0.0424601249396801,2.658287525177002,-0.008128991350531578,0.08327566087245941,0.5732487738132477,13.0,3328.0,121.80904686800204,212992.0
80.63,-1.1299999952316284,80.28,-1.190000057220459,2136.0,0.004959519952535629,0.05108642578125,2.6338822841644287,-0.009143085218966007,0.07784539461135864,0.5250039994716644,14.0,3584.0,129.47977781505324,229376.0
76.72,-1.0499999523162842,77.43,-0.9599999785423279,1730.0,0.005326655227690935,0.0569051094353199,2.6282875537872314,-0.011381122283637524,0.0675254538655281,0.557432621717453,15.0,3840.0,138.94999755709432,245760.0
83.14,-0.9700000286102295,78.61,-0.6600000262260437,1462.0,0.006926764268428087,0.0871988907456398,2.6063127517700195,-0.01319864485412836,0.06642278283834457,0.5496295690536499,16.0,4096.0,150.15290940296836,262144.0
77.59,-0.6700000166893005,78.75,-0.5,2134.0,0.005492530297487974,0.06207275390625,2.5992937088012695,-0.01154655683785677,0.0643499493598938,0.5373850464820862,17.0,4352.0,157.8316918630153,278528.0
82.31,-0.6100000143051147,78.41,-0.6499999761581421,1780.0,0.007345952559262514,0.0928548201918602,2.596116065979004,-0.01145219150930643,0.06337433308362961,0.5550227165222168,18.0,4608.0,167.03728472208604,294912.0
76.48,-0.46000000834465027,81.13,-0.9900000095367432,2149.0,0.007849687710404396,0.1017049178481102,2.5714244842529297,-0.013693369925022125,0.05522007867693901,0.5667752325534821,19.0,4864.0,174.66220862301998,311296.0
84.94,-0.5299999713897705,78.8,-0.7200000286102295,1766.0,0.007760237902402878,0.10491943359375,2.5853190422058105,-0.013575338758528233,0.06037108600139618,0.5368545949459076,20.0,5120.0,183.93747716303915,327680.0
76.11,-0.5799999833106995,81.99,-0.05999999865889549,1674.0,0.008586617186665535,0.1141357421875,2.5675859451293945,-0.011236553080379963,0.06573831290006638,0.5693990588188171,21.0,5376.0,193.720720956102,344064.0
79.55,0.05999999865889549,76.84,-0.25,1971.0,0.009021330624818802,0.1208699569106102,2.589451789855957,-0.014287150464951992,0.05566374957561493,0.5287040770053864,22.0,5632.0,202.03349181218073,360448.0
74.25,0.15000000596046448,75.86,-0.019999999552965164,1632.0,0.007543904706835747,0.09796142578125,2.5956804752349854,-0.015425586141645908,0.044623229652643204,0.5473136901855469,23.0,5888.0,212.07073228806257,376832.0
